,date,open,close,high,low,volume
2016-09-21,736228.0,63.6696020242,63.958147,64.177046448,63.4009529278,3849300.0
2016-09-22,736229.0,64.0277959619,64.306393,64.7541448138,64.0079000824,3213700.0
2016-09-23,736230.0,64.186999349,63.5303,64.5053971037,63.470603406,5083900.0
2016-09-26,736233.0,63.1223528543,63.102452,63.8088960118,62.5353060086,6946600.0
2016-09-27,736234.0,63.6099004561,63.958147,64.0974450206,63.2616549072,3916300.0
2016-09-28,736235.0,63.9481956689,63.89845,64.1770470387,63.4109024461,3580100.0
2016-09-29,736236.0,63.8884981012,63.052704,64.4854928929,62.6447568792,4132500.0
2016-09-30,736237.0,63.460650837,63.719351,64.0477006711,63.311403881,4307000.0
2016-10-03,736240.0,63.5104038546,63.490503,63.729303305,63.2218548956,2770000.0
2016-10-04,736241.0,63.5203514918,63.590001,64.057644713,63.3910014101,3709400.0
2016-10-05,736242.0,63.77,64.360001,64.529999,63.689999,3345000.0
2016-10-06,736243.0,63.560001,61.939999,63.68,61.759998,7975900.0
2016-10-07,736244.0,62.110001,61.759998,62.27,61.48,4217400.0
2016-10-10,736247.0,62.150002,61.900002,62.490002,61.869999,2522900.0
2016-10-11,736248.0,61.529999,60.860001,61.700001,60.549999,3926500.0
2016-10-12,736249.0,60.82,60.689999,61.049999,60.580002,3293800.0
2016-10-13,736250.0,60.23,60.41,60.560001,59.5,4220500.0
2016-10-14,736251.0,61.009998,60.150002,61.200001,60.099998,4963800.0
2016-10-17,736254.0,60.27,59.900002,60.419998,59.779999,3903900.0
2016-10-18,736255.0,60.52,60.080002,60.57,59.880001,3416600.0
2016-10-19,736256.0,60.419998,61.25,61.68,60.27,7888500.0
2016-10-20,736257.0,65.339996,66.779999,67.779999,64.75,25870700.0
2016-10-21,736258.0,66.449997,67.360001,67.589996,66.400002,8561200.0
2016-10-24,736261.0,67.690002,67.089996,67.93,67.07,5174000.0
2016-10-25,736262.0,66.93,66.739998,67.379997,66.610001,3882300.0
2016-10-26,736263.0,66.5,66.800003,67.07,66.139999,3621800.0
2016-10-27,736264.0,67.0,66.93,67.220001,66.43,4751300.0
2016-10-28,736265.0,67.150002,66.449997,67.220001,66.300003,4994500.0
2016-10-31,736268.0,66.809998,66.419998,66.830002,66.309998,3233400.0
2016-11-01,736269.0,66.769997,66.25,66.809998,65.730003,3761600.0
2016-11-02,736270.0,65.760002,65.449997,66.029999,65.139999,3659000.0
2016-11-03,736271.0,65.529999,65.330002,65.760002,65.040001,3796500.0
2016-11-04,736272.0,65.5,65.510002,66.080002,65.029999,3429900.0
2016-11-07,736275.0,66.849998,67.0,67.330002,66.650002,4012100.0
2016-11-08,736276.0,66.790001,67.07,67.260002,66.309998,3947700.0
2016-11-09,736277.0,67.160004,68.739998,69.0,67.059998,9191700.0
2016-11-10,736278.0,69.239998,70.110001,70.400002,69.050003,9418700.0
2016-11-11,736279.0,69.970001,70.5,70.589996,69.650002,4642300.0
2016-11-14,736282.0,70.800003,72.419998,72.68,70.629997,8026400.0
2016-11-15,736283.0,72.129997,72.470001,72.480003,71.239998,4429300.0
2016-11-16,736284.0,71.949997,71.68,72.400002,71.279999,4469200.0
2016-11-17,736285.0,71.360001,71.779999,72.0,71.32,3775200.0
2016-11-18,736286.0,71.529999,71.0,71.599998,70.769997,5375500.0
2016-11-21,736289.0,71.309998,71.540001,71.669998,70.959999,3239500.0
2016-11-22,736290.0,71.82,71.720001,71.879997,70.870003,3559900.0
2016-11-23,736291.0,71.940002,72.879997,72.919998,71.510002,4661400.0
2016-11-25,736293.0,72.970001,72.860001,73.18,72.459999,1900400.0
2016-11-28,736296.0,72.529999,72.129997,72.769997,71.970001,4306600.0
2016-11-29,736297.0,72.199997,71.489998,72.260002,71.389999,3771500.0
2016-11-30,736298.0,72.0,72.040001,72.330002,71.779999,4744100.0
2016-12-01,736299.0,72.449997,72.529999,72.769997,71.779999,4289300.0
2016-12-02,736300.0,72.519997,71.860001,72.660004,71.43,2938000.0
2016-12-05,736303.0,72.330002,72.029999,72.639999,71.989998,3886700.0
2016-12-06,736304.0,72.470001,72.309998,72.739998,72.080002,3785000.0
2016-12-07,736305.0,72.470001,74.290001,74.720001,72.230003,5703400.0
2016-12-08,736306.0,74.800003,74.910004,75.199997,73.989998,3407100.0
2016-12-09,736307.0,74.839996,74.769997,74.910004,74.290001,2558300.0
